provider,amount,date
simple,193609,2022-08-18
simple,193609,2022-09-18
simple,193609,2022-10-18
simple,193609,2022-11-18
simple,193609,2022-12-18
simple,193609,2023-01-18
simple,193609,2023-02-18
simple,193609,2023-03-18
simple,146382,2023-04-18
simple,96604,2022-08-02
simple,96604,2022-09-02
simple,96604,2022-10-02
simple,96604,2022-11-02
simple,96604,2022-12-02
simple,96604,2023-01-02
simple,96604,2023-02-02
simple,96604,2023-03-02
simple,96604,2023-04-02
simple,96604,2023-05-02
simple,75946,2023-06-02
simple,193208,2022-08-18
simple,193208,2022-09-18
simple,193208,2022-10-18
simple,193208,2022-11-18
simple,193208,2022-12-18
simple,193208,2023-01-18
simple,193208,2023-02-18
simple,193208,2023-03-18
simple,193208,2023-04-18
simple,193208,2023-05-18
simple,165862,2023-06-18
simple,144906,2022-08-04
simple,144906,2022-09-04
simple,144906,2022-10-04
simple,144906,2022-11-04
simple,144906,2022-12-04
simple,144906,2023-01-04
simple,144906,2023-02-04
simple,144906,2023-03-04
simple,144906,2023-04-04
simple,144906,2023-05-04
simple,144906,2023-06-04
simple,132539,2023-07-04
simple,214461,2022-08-03
simple,214461,2022-09-03
simple,214461,2022-10-03
simple,214461,2022-11-03
simple,214461,2022-12-03
simple,214461,2023-01-03
simple,214461,2023-02-03
simple,214461,2023-03-03
simple,214461,2023-04-03
simple,214461,2023-05-03
simple,214461,2023-06-03
simple,178448,2023-07-03
sono,90987,2022-09-04
sono,90987,2022-10-04
sono,101159,2022-11-04
sono,63829,2022-08-21
sono,63829,2022-09-21
sono,63829,2022-10-21
sono,66170,2022-11-21
sono,795069,2022-08-03
sono,124968,2022-08-21
pocket,1475200,2022-09-04
pocket,209900,2022-09-20
numur,160683,2022-08-20
numur,160683,2022-09-20
numur,160683,2022-10-20
numur,160683,2022-11-20
numur,182684,2022-12-20
store,155770,2022-08-01
store,100463,2022-08-20
